data_id,sample,valid_ratio,final_energy,amber_final
3,0,0.0000,,
3,1,0.0000,,
3,2,0.0000,,
3,3,0.1340,72.862981,72.862981
3,4,0.0000,,
3,5,0.0000,,
3,6,0.0000,,
3,7,0.0000,,
3,8,0.1020,-4.888629,-4.888629
3,9,0.0000,,
3,10,0.0000,,
3,11,0.2980,6.061446,6.061446
3,12,0.0000,,
3,13,0.2340,49.167767,49.167767
3,14,0.0220,,
3,15,0.0000,,
3,16,0.0000,,
3,17,0.0000,,
3,18,0.1940,38.631921,38.631921
3,19,0.1970,0.645382,0.645382
3,20,0.0000,,
3,21,0.0000,,
3,22,0.0000,,
3,23,0.0010,85.034354,85.034354
3,24,0.1310,,
3,25,0.1230,,
3,26,0.3090,26.538308,26.538308
3,27,0.0000,,
3,28,0.0000,,
3,29,0.0000,,
